lista,frase,texto
1,1,A questão foi retomada no congresso
1,2,Leila tem um lindo jardim
1,3,O analfabetismo é a vergonha do país
1,4,A casa foi vendida sem pressa
1,5,Trabalhando com união rende muito mais
1,6,Recebi nosso amigo para almoçar
1,7,A justiça é a única vencedora
1,8,Isso se resolverá de forma tranquila
1,9,Os pesquisadores acreditam nessa teoria
1,10,Sei que atingiremos o objetivo
2,1,Nosso telefone quebrou
2,2,Desculpe se magoei o velho
2,3,Queremos discutir o orçamento
2,4,Ela tem muita fome
2,5,Uma índia andava na mata
2,6,"Zé, vá mais rápido!"
2,7,Hoje dormirei bem
2,8,João deu pouco dinheiro
2,9,Ainda são seis horas
2,10,Ela saía discretamente
3,1,Eu vi logo a Iôiô e o Léo
3,2,Um homem não caminha sem um fim
3,3,Vi Zé fazer essas viagens seis vezes
3,4,O atabaque do Tito é coberto com pele de gato
3,5,Ele lê no leito de palha
3,6,Paira um ar de arara rara no Rio Real
3,7,Foi muito difícil entender a canção
3,8,Depois do almoçoo te encontro
3,9,Esses são nossos times
3,10,Procurei Maria na copa
4,1,A pesca é proibida nesse lago
4,2,Espero te achar bem quando voltar
4,3,Temos muito orgulho da nossa gente
4,4,O inspetor fez a vistoria completa
4,5,Ainda não se sabe o dia da maratona
4,6,Será muito difícil conseguir que eu venha
4,7,A paixão dele é a natureza
4,8,Você quer me dizer a data?
4,9,"Desculpe, mas me atrasei no casamento"
4,10,Faz um desvio em direção ao mar!
5,1,A velha leoa ainda aceita combater
5,2,É hora do homem se humanizar mais
5,3,Ela ficou na fazenda por uma hora
5,4,Seu crime foi totalmente encoberto
5,5,A escuridão da garagem assustou a criança
5,6,Ontem não pude fazer minha ginástica
5,7,Comer quindim é sempre uma boa pedida
5,8,Hoje eu irei precisar de você
5,9,Sem ele o tempo flui num ritmo suave
5,10,A sujeira lançada no rio contamina os peixes
6,1,O jogo será transmitido bem tarde
6,2,É possível que ele já esteja fora de perigo
6,3,A explicação pode ser encontrada na tese
6,4,Meu vôo tinha sido marcado para as cinco
6,5,Daqui a pouco a gente irá pousar
6,6,Estou certo que mereço a atenção dela
6,7,Era um belo enfeite todo de palha
6,8,O comércio daqui tem funcionado bem
6,9,É a minha chance de esclarecer a notícia
6,10,A visita transformou-se numa reunião íntima
7,1,O cenário da história é um subúrbio do Rio
7,2,Eu tenho ótima razão para festejar
7,3,A pequena nave medirá o campo magnético
7,4,O prêmio será entregue sem sessão solene
7,5,A ação se passa numa cidade calma
7,6,Ela e o namorado vão a Portugal de navio
7,7,O adiamento surpreendeu a mim e a todos
7,8,A gente sempre colhe o que plantou
7,9,Aqui é onde existem as flores mais interessantes
7,10,A corrida de inverno aconteceu com vibração
8,1,Esse empreendimento será de enorme sucesso
8,2,As feiras livres não funcionam amanhã
8,3,Fumar é muito prejudicial à saúde
8,4,Entre com seu código e o número da conta
8,5,Reflita antes e discuta depois
8,6,As aulas dele são bastante agradáveis
8,7,Usar aditivos pode ser desastroso
8,8,O clima não é mau em Calcutá
8,9,A locomotiva vem sem muita carga
8,10,Ainda é uma boa temporada para o cinema
9,1,Os maiores picos da Terra ficam debaixo d'água
9,2,A inauguração da vila é quarta-feira
9,3,Só vota quem tiver o título de eleitor
9,4,É fundamental buscar a razão da existência
9,5,A temperatura só é boa mais cedo
9,6,Em muitas regiões a população está diminuindo
9,7,Nunca se pode ficar em cima do muro
9,8,Pra quem vê de fora o panorama é desolador
9,9,É bom te ver colhendo flores
9,10,Eu me banho no lago ao amanhecer
10,1,É fundamental chegar a uma solução comum
10,2,Há previsão de muito nevoeiro no Rio
10,3,Muitos móveis virão às cinco da tarde
10,4,A casa pode desabar em algumas horas
10,5,O candidato falou como se estivesse eleito
10,6,"A idéia é falha, mas interessa"
10,7,O dia está bom para passear no quintal
10,8,Minhas correspondências não estão em casa
10,9,A saída para a crise dele é o diálogo
10,10,Finalmente o mau tempo deixou o continente
11,1,Um casal de gatos come no telhado
11,2,A cantora foi apresentar seu último sucesso
11,3,Lá é um lugar ótimo para tomar uns chopinhos
11,4,O musical consumiu sete meses de ensaio
11,5,Nosso baile inicia após as nove
11,6,"Apesar desses resultados, tomarei uma decisão"
11,7,A verdade não poupa nem as celebridades
11,8,As queimadas devem diminuir este ano
11,9,O vão entre o trem e a plataforma é muito grande
11,10,Infelizmente não compareci ao encontro
12,1,As crianças conheceram o filhote de ema
12,2,A bolsa de valores ficou em baixa
12,3,O congresso volta atrás em sua palavra
12,4,A médica receitou que eles mudassem de clima
12,5,Não é permitido fumar no interior do ônibus
12,6,A apresentação foi cancelada por causa do som
12,7,Uma garota foi presa ontem à noite
12,8,O prato do dia é couve com atum
12,9,Eu viajarei ao Canadá amanhã
12,10,A balsa é o meio de transporte daqui
13,1,O grêmio ganhou a quadra de esportes
13,2,Hoje irei à vila sem meu filho
13,3,Essa magia não acontece todo dia
13,4,Será bom que você estude esse assunto
13,5,O menu incluía pratos bem saborosos
13,6,"Podia dizer as horas, por favor?"
13,7,A casa é ornamentada com flores do campo
13,8,"A Terra é farta, mas não infinita"
13,9,O sinal emitido é captado por receptores.
13,10,A mensalidade aumentou mais que a inflação
14,1,O tele-jornal termina às sete da noite
14,2,A cabine telefônica fica na próxima rua
14,3,Defender a ecologia é manter a vida
14,4,Nesse verão o calor está insuportável
14,5,Um jardim exige muito trabalho
14,6,O mamão que eu comprei estava ótimo
14,7,Meu primo falará com a gerência amanhã
14,8,De dia apague a luz sempre
14,9,A sociedade uruguaia tem que se mobilizar
14,10,Suas atitudes são bem calmas
15,1,Dezenas de cabos eleitorais buscavam apoio
15,2,A vitória foi paga com muito sangue
15,3,Nossa filha tem amor por animais
15,4,Esse peixe é mais fatal que certas cobras
15,5,O time continua lutando pelo sucesso
15,6,Essa medida foi devidamente alterada
15,7,O estilete é uma arma perigosa
15,8,"Aguarde, quinta eu venho jantar em casa"
15,9,"A mudançaa é lenta, porém duradoura"
15,10,O clima não é mais seco no interior
16,1,A sensibilidade indicará a escolha
16,2,A Amazônia é a reserva ecológica do globo
16,3,O ministério mudou demais com a eleição
16,4,Novos rumos se abrem para a informática
16,5,O capital de uma empresa depende da produção
